书名,编绘,出版社,出版月份,开本,印数（千册）,页数,定价,年,来源,
二万五千里长征,赵伯衡,广益,11月,,,,0.21元,1949,Ref004: 1,
人民英雄刘志丹,董均伦、张文元,大众美术,12月,,,,0.34元,1949,Ref004: 1,
三打祝家庄,民众,,,,,,0.12元,1949,Ref004: 1,
三上轿,民众,,,,,,0.12元,1949,Ref004: 1,
工人的旗帜赵占魁,野夫、江丰,大众美术,11月,,,,0.12元,1949,Ref004: 1,
小姑贤刘保堂,力群刻,晨光,10月,,,,,1949,Ref004: 1,
与灾荒搏斗,陶钝、盾心,教育,12月,,,,0.40元,1949,Ref004: 1,
王秀鸾,张令涛、何公超,华东书店,11月,,,,0.30元,1949,Ref004: 1,
丹娘,王景球、徐甫堡,大众美术,10月,,,,0.20元,1949,Ref004: 1,
无坚不摧,施展、安林,中南新华,10月,,,,0.24元,1949,Ref004: 1,
文素臣（上、下册）,张令涛等,上海,,,,,,1949,Ref004: 1,
木兰从军,马少波,华东新华,12月,,,,0.10元,1949,Ref004: 1,
木兰从军（上、中、下册）,戴玲,越伶,3月,,,,,1949,Ref004: 1,
不要杀他,野夫、陈烟桥,大众美术,12月,,,,0.22元,1949,Ref004: 1,
不要杀他,陈江风、何公超,华东书店,11月,,,,0.25元,1949,Ref004: 1,
水上人家（上、中、下册）,瞿白音,学林,11月,,,,1.20元,1949,Ref004: 1,
讨血债（上、下册）,严绍唐,惜阴,10月,,,,,1949,Ref004: 1,
白毛女,武石、徐甫堡,大众美术,11月,,,,0.34元,1949,Ref004: 1,
白毛女,张克,苏北新华,11月,,,,,1949,Ref004: 1,
白毛女,姜燕,知识,12月,,,,0.60元,1949,Ref004: 1,
红灯记,平原,华东新华,10月,,,,0.34元,1949,Ref004: 1,
刘巧团圆,韩起祥,山东新华,10月,,,,0.22元,1949,Ref004: 1,
农民血泪,吴承干、陈光镒,联益社,10月,,,,,1949,Ref004: 1,
动物园,哲安,教育,12月,,,,0.35元,1949,Ref004: 1,
血海深仇,杨涵等,山东新华,10月,,11,,0.25元,1949,Ref004: 1,
血染梅山岛,贺友直,上海,,,,,,1949,Ref004: 1,
李闯王（上、下册）,汪玉山,泰兴,10月,,,,0.50元,1949,Ref004: 1,
李闯王,民众,,,,,,0.12元,1949,Ref004: 1,
祝福,丰子恺,万叶,,,,,0.30元,1949,Ref004: 1,
杨桂香,陶钝、盾心,教育,12月,,,,0.40元,1949,Ref004: 1,
两万五千里长征记,云磊,郑州人民教育馆,10月,,,,,1949,Ref004: 1,
孟姜女（上、下册）,钱笑呆,联益社,10月,,,,0.34元,1949,Ref004: 1,
鬼变人,江丰、徐甫堡,大众美术,12月,,,,0.35元,1949,Ref004: 1,
粉红色的炸弹（上、中、下册）,戴玲,越伶,10月,,,,,1949,Ref004: 1,
热血男儿的故事（三册）,陈江风、黄一德,华东,10月,,,,0.75元,1949,Ref004: 1,
堕落的女性,戴玲,影谊,10月,,,,,1949,Ref004: 1,
渔夫恨,民众,,,,,,0.15元,1949,Ref004: 1,
野猪林,民众,,,,,,0.12元,1949,Ref004: 1,
揭穿一贯道,辽东文联筹委会,辽东新华,12月,,,,0.20元,1949,Ref004: 1,
智勇双全,陈兴华,中南新华,11月,,,,0.27元,1949,Ref004: 1,
逼上梁山,集体创作,山东新华,11月,,,,0.23元,1949,Ref004: 1,
鼓风炉旁四十年,徐甫堡、野夫,大众美术,11月,,,,0.38元,1949,Ref004: 1,
福贵,贺友直,普及,,,,,,1949,Ref004: 1,
摔龙王,少鲁,大众美术,11月,,,,0.38元,1949,Ref004: 1,
窑洞保卫战,张漾兮,大众美术,10月,,,,0.15元,1949,Ref004: 1,
一支生产军,蔡杰编绘,同丰,11月,,,,0.30元,1950,Ref004: 2,
一百二十九处伤,莫洛编绘,一迅,11月,,,,0.17元,1950,Ref004: 2,
一门二霸,李铁生、金戈编绘,华大,,,,,0.60元,1950,Ref004: 2,
一封机密信,江丰等编绘,大众美术,10月,,,,0.38元,1950,Ref004: 2,
一架弹花机,祝耘农、陈履平编绘,人民书报,11月,,,,0.32元,1950,Ref004: 2,
一个下贱的女人,王俊生、黄海澄编绘,华商,2月,,,,0.30元,1950,Ref004: 2,
一个女人的新生,张鸾编绘,实用,5月,,,,0.19元,1950,Ref004: 2,
一个女人翻身的故事,孔厥、方生编绘,学林,7月,,,,0.45元,1950,Ref004: 2,
一个女人翻身的故事,陈江风、黄一德,华东书店,1月,,,,0.30元,1950,Ref004: 2,
一个空白村的变化,那沙、俞乃大,百成,11月,,,,0.33元,1950,Ref004: 2,
一个被压迫的女子,陈江风,华东书店,4月,,,,0.25元,1950,Ref004: 2,
一个副连长,王佐英,兴华,11月,,,,0.26元,1950,Ref004: 2,
一个新的城市,,新华,9月,,,,1.24元,1950,Ref004: 2,
一只手开荒,曹同煜,同丰,9月,,,,0.32元,1950,Ref004: 2,
一连串的故事,罗夫、影泉,兄弟图书,9月,,,,0.18元,1950,Ref004: 2,
一贯道害死人,田作良,太原新华,10月,,10,,0.10元,1950,Ref004: 2,
一团和气,张国珍、陈惠民,周家,10月,,,,0.30元,1950,Ref004: 2,
二十年不屈的斗争,蒋萍,新连,9月,,,,0.30元,1950,Ref004: 2,
二万五千里长征,黄一德、方炯,华东书店,7月,,,,0.26元,1950,Ref004: 2,
二龙村,凌杏邨、伊任,兴华,9月,,,,0.30元,1950,Ref004: 2,
十二个月,徐甫堡、吴其柔,群育,8月,,,,0.25元,1950,Ref004: 2,
十九岁的连长,翟强,灯塔,3月,,,,0.30元,1950,Ref004: 2,
十年牛马,赤心、叶子画室,益丰,11月,,,,0.20元,1950,Ref004: 2,
丁甲山,赵颖、赵三岛,同康,12月,,,,0.32元,1950,Ref004: 2,
丁丁游历北京城,周镇,长征,,,,,,1950,Ref004: 2,
七朵花,徐淦、盾心,教育,2月,,,,0.24元,1950,Ref004: 2,
七星子（四册）,徐良士、红叶,联益社,,,,,1.10元,1950,Ref004: 2,
七侠五义（五册）,联益社,,,,,,,1950,Ref004: 2,
九立功,北颿、黎新,灯塔,12月,,8,,0.20元,1950,Ref004: 2,
九死一生,一丁、戈湘岚,灯塔,2月,,,,0.20元,1950,Ref004: 2,
九件衣（上、下册）,梅华,联益社,1月,,,,0.60元,1950,Ref004: 2,
人小心不小,黄一德、钱庸,春秋书社等,11月,,,,0.32元,1950,Ref004: 2,
人民武装平英团,王星北、苏起峰,泰兴,12月,,,,0.18元,1950,Ref004: 2,
人民的怒吼（上、下册）,赵宏本,全球,11月,,,,0.65元,1950,Ref004: 2,
人民的儿子,凌杏邨、王玉琪,兴华,9月,,,,0.26元,1950,Ref004: 2,
人民英雄,姚品章,文德,6月,,,,0.30元,1950,Ref004: 2,
人民英雄胡铎,徐甫堡,教育,9月,,,,0.18元,1950,Ref004: 2,
人民英雄刘志丹,董均伦、张文元,昆明新华,5月,,,,0.25元,1950,Ref004: 2,
人民船工向胜利,邓守智、蒋萍,泰兴,7月,,,,0.16元,1950,Ref004: 2,
人地重圆,徐立森,武汉通俗,12月,,,,0.22元,1950,Ref004: 2,
人勤地不懒,唐斌灿,兴华,12月,,,,0.26元,1950,Ref004: 2,
八年血仇,汪逸飞、张坡,大方书店,11月,,,,0.32元,1950,Ref004: 2,
八年离乱（三册）,蔡楚生,百成,10月,,,,1.44元,1950,Ref004: 2,
八勇士华山建奇功,黄且为、黎新,灯塔,12月,,,,0.30元,1950,Ref004: 2,
八路军到新解放区,徐正平,教育,3月,,,,,1950,Ref004: 2,
三上轿（上、下册）,罗仪、祁鸿生,文华,5月,,,,,1950,Ref004: 2,
三毛流浪记（三册）,张福祺、和颐,中心,9月,,,,1.44元,1950,Ref004: 2,
三世仇,龚义江、黄仁路,泰记,12月,,,,0.32元,1950,Ref004: 3,
三打祝家庄（上、下册）,陈丹旭,通俗文化,2月,,,,0.52元,1950,Ref004: 3,
三打祝家庄（上集）,徐燕孙,大众图画,8月,,20,,0.32元,1950,Ref004: 3,
三秃的冤仇,白刃、徐宏达等,人民书报,7月,,,,0.56元,1950,Ref004: 3,
三个侦察女英雄,谊生、陈江风,益丰,10月,,,,0.22元,1950,Ref004: 3,
三夺红旗,潘退厂、李紫霞,久义,12月,,,,0.30元,1950,Ref004: 3,
三战小霸王（上、下册）,赵三岛,东亚,,,,,,1950,Ref004: 3,
干将莫邪（上、下册）,陆之光,文德,4月,,,,0.60元,1950,Ref004: 3,
工人有力量,程万里,一心,10月,,,,0.30元,1950,Ref004: 3,
工人和牧师,孙明、罗盘,学林,9月,,,,0.17元,1950,Ref004: 3,
工人张飞虎,冯真等,大众图画,3月,,,,0.30元,1950,Ref004: 3,
工人张飞虎,康濯、冯真等,新华,8月,,45,,0.30元,1950,Ref004: 3,
工人旗帜赵占魁,王鸿、革田,重庆工人,7月,,,,0.22元,1950,Ref004: 3,
工人模范牛占梅,金鼓、徐甫堡,通俗文化,7月,,,,0.20元,1950,Ref004: 3,
土地,江丰、邵宇,大众美术,3月,,7,,0.60元,1950,Ref004: 3,
土地中的斗争,蒋萍,华明,12月,,,,0.30元,1950,Ref004: 3,
土改后的大杨庄,朱然、张坡,华成,12月,,,,0.30元,1950,Ref004: 3,
大公无私（上、下册）,徐长智、王玉琪,同联,10月,,,,0.60元,1950,Ref004: 3,
大皮鞋,令涛画室,儿童良友,5月,,,,,1950,Ref004: 3,
大灰狼,陈学忠等,东北新华,8月,,,,0.80元,1950,Ref004: 3,
大家的力量,董林肯等,立化,9月,,,,0.16元,1950,Ref004: 3,
大家喜欢,卢世澄、汪玉山,人民书报,5月,,,,0.33元,1950,Ref004: 3,
大家喜欢（上、中、下）,张福祺、程颐,中心,9月,,,,1.44元,1950,Ref004: 3,
大破铜网阵（一、二、三、四）,赵宏本,联益社,12月,,,,,1950,Ref004: 3,
大鱼庄的故事,王星北、潘絜兹,北斗,12月,,,,0.25元,1950,Ref004: 3,
大报仇,秦征,晨光,12月,,,,0.30元,1950,Ref004: 3,
大雷雨（上、下册）,汪静星,泰兴,5月,,,,0.56元,1950,Ref004: 3,
大闹华家庄（上、下册）,王一岛,华大,12月,,,,0.60元,1950,Ref004: 3,
子弟兵和老百姓,曹世琦,世琦画室,,,,,,1950,Ref004: 3,
上升,卢汶、高足等,同丰,10月,,,,0.32元,1950,Ref004: 3,
上海奇谈哑子说了话,唐斌灿,兴华,11月,,,,0.26元,1950,Ref004: 3,
上海新生一年（上、下册）,陈章、丁止,教育,11月,,,,0.38元,1950,Ref004: 3,
上海解放号,文治平,泰兴,8月,,,,0.32元,1950,Ref004: 3,
山河泪（上、中、下册）,戴玲,美华,11月,,,,1.20元,1950,Ref004: 3,
小二黑结婚（上、中、下册）,方生,学林,9月,,,,1.44元,1950,Ref004: 3,
小二黑结婚（上、下册）,赵树理,新中国,1月,,,,0.26元,1950,Ref004: 3,
小二黑结婚,米谷、江丰,大众美术,5月,,,,0.25元,1950,Ref004: 3,
小二黑结婚,徐淦、洪波等,大众图画,11月,,,,0.32元,1950,Ref004: 3,
小二黑结婚,陈江风,华东书店,3月,,,,0.25元,1950,Ref004: 3,
小力笨,徐淦、汪健,育才,12月,,,,0.30元,1950,Ref004: 3,
小丈夫,李健吾、盾心,教育,2月,,,,0.40元,1950,Ref004: 3,
小心疯狗,罗夫、影泉,兄弟图书,11月,,,,0.17元,1950,Ref004: 3,
小王五,施明德,华大,10月,,,,0.25元,1950,Ref004: 3,
小五义（一、二、三、四、五）,赵宏本,联益社,,,,,,1950,Ref004: 3,
小四子的好计策,汪健、杨步升,中联,10月,,,,0.30元,1950,Ref004: 3,
小共产党员, 曹世琦,世琦画室,,,,,,1950,Ref004: 3,
小妖怪（上、下册）,钱笑呆,全球,7月,,,,0.63元,1950,Ref004: 3,
小英雄雨来,汪健、汪剑虹,益华,8月,,,,0.30元,1950,Ref004: 3,
小侠三毛（上、下册）,梅华,全球,,,,,,1950,Ref004: 3,
小侠青衣童（上、下册）,梅华,全球,,,,,,1950,Ref004: 3,
小侠狠,梅华,全球,,,,,,1950,Ref004: 3,
小秦历险记,江丰等,大众美术,9月,,,,0.22元,1950,Ref004: 3,
小烈士,曹世琦,世琦画室,,,,,,1950,Ref004: 3,
小仓山,周玑、班璋,华东新华,6月,,,,0.28元,1950,Ref004: 3,
小仓山,沙金,兄弟图书,11月,,,,0.30元,1950,Ref004: 3,
小雪花,董林肯、程十发,立化,9月,,,,0.36元,1950,Ref004: 3,
小雪花,柳比、莫娃,实用,9月,,,,0.30元,1950,Ref004: 3,
小野人,赤心、陈烟帆,兴华,1月,,,,0.26元,1950,Ref004: 3,
小雷雨（上、下册）,正志,,,,,,,1950,Ref004: 3,
小照子长大了,林肯,立化,2月,,,,0.20元,1950,Ref004: 3,
小号兵,青木、刘平,大众美术,9月,,,,0.25元,1950,Ref004: 3,
小经理,顾炳鑫,民众,10月,,,,0.11元,1950,Ref004: 3,
小经理,宋肖虎,泰兴,9月,,,,0.16元,1950,Ref004: 3,
小领袖,宋菲、绣文,长江,12月,,,,0.32元,1950,Ref004: 3,
小癞痢,王一丁,五星,10月,,,,0.30元,1950,Ref004: 3,
小兰花与活阎王,李卉、亚光,五星,12月,,,,0.30元,1950,Ref004: 4,
千手观音,顾炳鑫,民众,10月,,,,0.11元,1950,Ref004: 4,
千百个儿子,陈赞卿,群育,12月,,,,0.25元,1950,Ref004: 4,
千年冰河开了冻,邹恩杰,福记,12月,,,,0.32元,1950,Ref004: 4,
女工英雄李凤莲,黄廷坚、麦杆,电化教育,12月,,,,0.15元,1950,Ref004: 4,
女司令刘虎成,卢世澄、凌涛,人民书报,7月,,,,0.50元,1950,Ref004: 4,
女司机开火车,范斌、张龟年,文德,7月,,,,0.30元,1950,Ref004: 4,
女志士（上、下册）,红叶,联益社,3月,,,,,1950,Ref004: 4,
女纠察,张龟年,同康,11月,,,,0.30元,1950,Ref004: 4,
女英雄沈二娘,黄仁路,五华,11月,,,,0.30元,1950,Ref004: 4,
女英雄李秀贞,邓述珍、凌涛等,人民书报,11月,,,,0.29元,1950,Ref004: 4,
女英雄何花秀,秦兆阳、知新,劳动,8月,,,,0.31元,1950,Ref004: 4,
女英雄郭俊卿,蒋宾泉、蒋萍,新连,10月,,,,0.16元,1950,Ref004: 4,
女厂主,张福祺、程颐,中心,8月,,,,0.96元,1950,Ref004: 4,
女战士孙颜秀（四册）,黄一德、胡丁文,灯塔,9月,,,,0.80元,1950,Ref004: 4,
女党员,曹世琦,世琦画室,,,,,,1950,Ref004: 4,
女魔王（上、中、下册）,赵宏本,福记,,,,,,1950,Ref004: 4,
马少清和曹连长,王啸平等,万叶等,12月,,,,0.18元,1950,Ref004: 4,
马寡妇开店（上、下册）,严绍唐等,泰记,,,,,0.65元,1950,Ref004: 4,
干活为自己,中共武汉市委会宣传部,武汉工人,1月,,,,0.17元,1950,Ref004: 4,
飞机,谢友松,大富,12月,,,,0.30元,1950,Ref004: 4,
飞禽天地,哲安,教育,3月,,,,0.30元,1950,Ref004: 4,
飞贼陈纳德,江栋良,群联,12月,,,,0.20元,1950,Ref004: 4,
万家灯火（上、下册）,汪玉山,泰兴,5月,,,,0.56元,1950,Ref004: 4,
与央荒搏斗,郑明辉、林雪岩,泰兴,9月,,,,0.28元,1950,Ref004: 4,
卫生组长,李治中、徐馀兴,鑫记,9月,,,,0.30元,1950,Ref004: 4,
义犬阿利,上海图书公司,,,,,,,1950,Ref004: 4,
双模范李十兰,新连编绘室,中益,10月,,,,0.30元,1950,Ref004: 4,
六担米的血债,任伯言等,五丰,11月,,,,0.30元,1950,Ref004: 4,
从头看尾,田作良,太原新华,2月,,10,,0.11元,1950,Ref004: 4,
长明灯,罗伽、张之芳,大方,11月,,,,0.20元,1950,Ref004: 4,
风雪夜归人（上、中、下）,,全球,7月,,,,1.44元,1950,Ref004: 4,
凤凰岭,汪玉山,人民书报,9月,,,,0.33元,1950,Ref004: 4,
乌鸦告状,洛平、李寸松,群育,1月,,,,0.20元,1950,Ref004: 4,
乌鸦告状,方生、顾炳鑫,学林,5月,,,,0.45元,1950,Ref004: 4,
乌鸦告状,凌涛,人民书报,5月,,,,0.47元,1950,Ref004: 4,
乌鸦与麻雀（上、中、下）,百成,,12月,,,,1.44元,1950,Ref004: 4,
从'五卅'到大革命,董茵宸、吴从云等,劳动,5月,,,,0.26元,1950,Ref004: 4,
从今以后不求神,蔡杰,中联,10月,,,,0.30元,1950,Ref004: 4,
从黑暗到光明,西北人民艺术学院美术系集体创作,西北新华,11月,,,,0.40元,1950,Ref004: 4,
从猿到人（一）,云泉、薛鸣达,华东书店,6月,,,,0.30元,1950,Ref004: 4,
从猿到人,黄一德,元昌,7月,,,,0.16元,1950,Ref004: 4,
为人民流尽最后一滴血,凌涛,教育,3月,,,,,1950,Ref004: 4,
为什么,方生、罗兴,学林,12月,,,,0.34元,1950,Ref004: 4,
为什么求解放,张龟年,文德,5月,,,,0.30元,1950,Ref004: 4,
为孩子们祝福,王星北,北斗,11月,,,,0.27元,1950,Ref004: 4,
文天祥,赵景深,三民,10月,,,,0.20元,1950,Ref004: 4,
文娱和体育,,新华,9月,,,,0.21元,1950,Ref004: 4,
火车头老张夫妇立功,徐甫堡,群育,10月,,,,0.22元,1950,Ref004: 4,
王九诉苦,张志民、曹世琦,读者,4月,,,,0.19元,1950,Ref004: 4,
王三宝的转变（原名大家喜欢）,黄一德,灯塔,7月,,,,0.25元,1950,Ref004: 4,
王小二,马思帆、汪玉山,人民书报,12月,,,,0.34元,1950,Ref004: 4,
王小二翻身（上、中、下册）,张福祺、程颐,中心,10月,,,,1.44元,1950,Ref004: 4,
王文与刁刘氏,阿江、李铁生,惜阴,12月,,,,0.30元,1950,Ref004: 4,
王阿福的故事,杨青华、黄仁路,泰记,11月,,,,0.30元,1950,Ref004: 4,
王秀鸾,张再学、刘继卤,大众图画,10月,,95,,0.28元,1950,Ref004: 4,
王春与大发面,杨汶、王一菲,周家,11月,,,,0.32元,1950,Ref004: 4,
王贵与李香香,李季、可友,知识,6月,,,,0.53元,1950,Ref004: 4,
王贵与李香香,李季、卢汶,同康,,,,,0.49元,1950,Ref004: 4,
王贵与李香香（上、下）,,学林,6月,,,,0.80元,1950,Ref004: 4,
王贵与李香香,活力画室,通俗文化,2月,,,,0.30元,1950,Ref004: 5,
王贵与李香香,李季、旺亲,教育书店,8月,,,,0.45元,1950,Ref004: 5,
王哑子开口,张鹿山,长江,11月,,,,0.30元,1950,Ref004: 5,
王保领战胜乌麦,何丁,山东新华,5月,,24,,0.23元,1950,Ref004: 5,
王婆与她的协天上帝,凌杏邨、屠全枫,兴华,9月,,,,0.26元,1950,Ref004: 5,
天狗吃不了太阳,庞渔艇,通俗文化,2月,,,,0.20元,1950,Ref004: 5,
天亮前后（上、中、下）,蔡楚生等,百成,10月,,,,1.44元,1950,Ref004: 5,
夫妻缴粮,郑明辉、徐馀兴,慕青,12月,,,,0.32元,1950,Ref004: 5,
木兰从军,王叔晖,大众图画,3月,,126,,0.12元,1950,Ref004: 5,
五十八匹布,马思帆、张浩,美华,9月,,,,0.30元,1950,Ref004: 5,
不死的王孝和,上海总工会文教部,劳动,3月,,,,0.16元,1950,Ref004: 5,
不死的王孝和（上、下册）,杨见龙,群育,11月,,,,0.50元,1950,Ref004: 5,
不合理的旧社会,徐馀兴,胜利,12月,,,,0.32元,1950,Ref004: 5,
不屈服的周老汉,汪静星,福记,11月,,,,0.25元,1950,Ref004: 5,
不要杀他,华北抗敌剧社,新华,3月,,,,0.39元,1950,Ref004: 5,
不是蝉,王小初,大众美术社,12月,,,,,1950,Ref004: 5,
太太问题（上、中、下）,戴玲,美联,12月,,,,1.44元,1950,Ref004: 5,
太平天国革命故事,陈丹旭、洛平,群育,10月,,,,0.35元,1950,Ref004: 5,
太平年,之英、盾心,教育,10月,,,,0.25元,1950,Ref004: 5,
太平春（上、下册）,凌杏邨、王玉琪,华大,10月,,,,0.55元,1950,Ref004: 5,
太平春（一、二、三、四）,文华影业公司原制,美华,9月,,,,1.88元,1950,Ref004: 5,
太平桥的怒潮（上、中、下）,戴玲,美联,2月,,,,,1950,Ref004: 5,
太行区的模范英雄,王左英,兴华,12月,,,,0.26元,1950,Ref004: 5,
太阳一出满天红,江南春,福记,10月,,,,0.32元,1950,Ref004: 5,
太阳医生,黄一德,灯塔,8月,,,,0.25元,1950,Ref004: 5,
中国人民的死敌！,中华全国美术工作者协会上海分会,三一美术,12月,,,,0.30元,1950,Ref004: 5,
中国的南丁格尔程锡美同志,郑明辉、蔡杰,宝山,10月,,,,0.15元,1950,Ref004: 5,
中苏友好万岁,程十发,立化,8月,,,,0.24元,1950,Ref004: 5,
少华山农民抗敌,严绍唐、张国珍,东亚,8月,,,,0.55元,1950,Ref004: 5,
少爷兵,翼民、张古风,泰兴,12月,,,,0.32元,1950,Ref004: 5,
反攻,俞林、王一菲,周家,10月,,,,0.30元,1950,Ref004: 5,
水泊梁山（八册）,陈丹旭、柯槐青,华东书店,7月,,,,0.25元,1950,Ref004: 5,
水栈船,汪白芬,泰兴,7月,,,,0.32元,1950,Ref004: 5,
水乡风光（上、下）,,美华,9月,,,,0.72元,1950,Ref004: 5,
牛郎织女,沙金,兄弟图书,9月,,,,0.32元,1950,Ref004: 5,
手（上、下册）,陆之光,文德,2月,,,,,1950,Ref004: 5,
月球探险记（上、中、下）,张龟年,泰兴,5月,,,,0.94元,1950,Ref004: 5,
勾践,赵景深,三民,10月,,,,0.20元,1950,Ref004: 5,
仇山恨海,章士佼、陆之光,泰兴,10月,,,,0.32元,1950,Ref004: 5,
仇恨,曹世琦,世琦画室,,,,,,1950,Ref004: 5,
仇深似海,野龙、王水天,新时代编辑社,12月,,,,0.25元,1950,Ref004: 5,
忆江南（上、下）,汪玉山,泰兴,8月,,,,0.56元,1950,Ref004: 5,
忆江南（上、中、下）,戴玲,越伶,2月,,,,,1950,Ref004: 5,
反抗,汪正,金昌,11月,,,,0.30元,1950,Ref004: 5,
反瞒田斗争,华南文工团 第三分团集体创作,华南文工团,6月,,,,,1950,Ref004: 5,
公审恶霸（上、下）,汪剑虹,文德,3月,,,,0.60元,1950,Ref004: 5,
永远前进,苏起峰,兴华,11月,,,,0.32元,1950,Ref004: 5,
永远前进,新连编绘室,文锋,12月,,,,0.20元,1950,Ref004: 5,
可敬爱的人,偶邑、陈因等,三一美术,10月,,,,0.48元,1950,Ref004: 5,
打垮美帝纸老虎（上、下）,任明、陆星辰,中心,,,,,0.60元,1950,Ref004: 5,
打破玉笼飞彩凤（上、下）,,全球,7月,,,,0.96元,1950,Ref004: 5,
石大姐,张坡,福记,10月,,,,0.32元,1950,Ref004: 5,
石不烂赶车,李祖源、陈履平,人民书报,6月,,,,0.29元,1950,Ref004: 5,
石达开,黄且为,灯塔,8月,,,,0.18元,1950,Ref004: 5,
民兵的故事,郑明辉、蔡杰,宝山,11月,,,,0.24元,1950,Ref004: 5,
民间艺人,吴彭年,同康,10月,,,,0.30元,1950,Ref004: 5,
田地回老家,武石,武汉通俗,9月,,,,0.23元,1950,Ref004: 5,
田菊香的斗争,凌杏邨,兴华,11月,,,,0.26元,1950,Ref004: 5,
申九工人的光荣斗争,彭学治、吴从云,劳动,5月,,,,0.29元,1950,Ref004: 5,
史可法,钱长龄,三民,10月,,,,0.20元,1950,Ref004: 6,
四大金刚,戚单尽,知识,3月,,,,0.25元,1950,Ref004: 6,
四眼狗过沟,姚品章、城平,文德,11月,,,,0.32元,1950,Ref004: 6,
母仇妻恨(上、下册),王祖元,勤进,,,,,,1950,Ref004: 6,
母亲(上、中、下),裘芭香、裘露,电化教育,9月,,,,1.20元,1950,Ref004: 6,
生死一条心,汪静星,泰兴,6月,,,,0.32元,1950,Ref004: 6,
生死一条心,白刃,华东新华,1月,,,,0.37元,1950,Ref004: 6,
生物的进化,王梅昂、殷云泉,大众科学社,12月,,,,0.30元,1950,Ref004: 6,
生产自救,纪晋、汪绚秋,学林,8月,,,,0.34元,1950,Ref004: 6,
包围圈里,田舍郎、金戈,新民,6月,,,,0.30元,1950,Ref004: 6,
白毛女,徐甫堡 余白聖绘画,大众美术,,,,,,1950,Ref004: 6,
白毛女,集体创绘,教育,2月,,,,,1950,Ref004: 6,
白毛女,鲁迅文艺学院,灯塔,1月,,,,0.20元,1950,Ref004: 6,
白毛女,高志平,山东新华,4月,,5,,0.48元,1950,Ref004: 6,
白毛女,微风,通俗文化,3月,,,,0.22元,1950,Ref004: 6,
白毛女,延安鲁艺工作园,华东新华,2月,,,,0.73元,1950,Ref004: 6,
白毛女(上下册及续集),许敏,联华,,,,,,1950,Ref004: 6,
白毛女画册,曹平,华南新华,9月,,,,0.62元,1950,Ref004: 6,
白求恩大夫,黄一德,灯塔,4月,,,,0.30元,1950,Ref004: 6,
幼年安迪生,刘一蒙,教育,2月,,,,0.28元,1950,Ref004: 6,
奴隶变主人,新连编绘室,胜利,9月,,,,0.32元,1950,Ref004: 6,
发明的故事,江枫,教育,2月,,,,0.30元,1950,Ref004: 6,
东北女英雄赵一曼,赵宏本,教育,3月,,,,0.30元,1950,Ref004: 6,
节烈千秋,,实用,10月,,,,0.30元,1950,Ref004: 6,
卢子兰—被卖过二次的女人,张组良、陈扫白,通力,10月,,,,0.20元,1950,Ref004: 6,
卢连玉诉苦,曹振峰,大众美术,11月,,,,0.17元,1950,Ref004: 6,
龙和鸡,马千,立化,7月,,,,0.18元,1950,Ref004: 6,
龙凤配,王启明,平津,12月,,,,0.30元,1950,Ref004: 6,
纠纷,菡子,人民书报,6月,,,,0.47元,1950,Ref004: 6,
安全接生,邢光惠,中南新华,12月,,,,0.18元,1950,Ref004: 6,
江村游侠传(四册),,美联,,,,,,1950,Ref004: 6,
冰天雪地(上、下册),赵宏本,福记,,,,,,1950,Ref004: 6,
米邱林,徐甫堡,群育,10月,,,,0.18元,1950,Ref004: 6,
老子英雄儿好汉,蒋萍,泰兴,10月,,,,0.28元,1950,Ref004: 6,
老君朝,吴彭年,义华,10月,,,,0.32元,1950,Ref004: 6,
老虎寨,李方、施琦平,群育,12月,,,,0.30元,1950,Ref004: 6,
老虎会做工,丁乙、叶子画室,大方,11月,,,,0.20元,1950,Ref004: 6,
老英雄刘英源,革田、王鸿,重庆工人,7月,,,,0.16元,1950,Ref004: 6,
老红军回来了,汪建、汪旭东,宝山,10月,,,,0.30元,1950,Ref004: 6,
老红军回来了,周洁夫等,中南新华,3月,,,,0.30元,1950,Ref004: 6,
老桑树底下的故事(四册),黄一德等,灯塔,9月,,,,0.80元,1950,Ref004: 6,
老处女结婚,郑明辉、虞富春,华商,5月,,,,0.26元,1950,Ref004: 6,
老顽固的转变,陈惠明,同丰,12月,,,,0.32元,1950,Ref004: 6,
老汉赵保成,罗既张、李祖源,人民书报,10月,,,,0.36元,1950,Ref004: 6,
地主女儿,汪伟光,福记,12月,,,,0.32元,1950,Ref004: 6,
地主的面目,蒋萍,福记,10月,,,,0.32元,1950,Ref004: 6,
地主的罪恶,季万,山东新华,5月,,,,0.14元,1950,Ref004: 6,
地主的诡计,红叶、张国珍,联益社,10月,,,,0.30元,1950,Ref004: 6,
地主是怎样发家的,汪玉山,兴华,12月,,,,0.26元,1950,Ref004: 6,
地主现形记,鲁琪、崔岚,中南新华,6月,,,,0.12元,1950,Ref004: 6,
地头蛇抢亲(原名吕梁英雄传),王景球、赵宏本,大众美术,8月,,,,0.35元,1950,Ref004: 6,
西瓜兄弟,汪健、汪伟光,联益社,8月,,,,0.30元,1950,Ref004: 6,
共产党的好女儿赵桂兰,江丰等,大众美术,11月,,,,0.25元,1950,Ref004: 6,
列宁在一九一八(上、下册),中艺社,泰兴,4月,,,,1.02元,1950,Ref004: 6,
列宁画传,江丰等,大众美术,8月,,,,0.52元,1950,Ref004: 6,
